Time	CPU Temperature	CPU Frequency
469.9	48.2	1500.3
472.0	47.2	1500.3
474.2	48.2	1500.4
476.3	48.7	1500.4
478.4	48.2	1500.4
480.5	49.1	1500.3
482.6	48.2	1500.4
484.8	49.6	1500.4
486.9	48.7	1500.3
489.0	47.7	1500.3
491.1	48.7	1500.4
493.3	49.1	1500.4
495.4	48.2	1500.3
497.6	48.2	1500.4
499.7	46.7	1500.4
501.8	47.7	1500.3
504.0	48.2	1500.3
506.1	48.2	1500.4
508.2	48.2	1500.3
510.4	49.1	1500.4
512.5	49.1	1500.4
514.6	49.1	1500.3
516.7	48.7	1500.3
518.8	48.7	1500.3
521.0	48.7	1500.3
523.1	48.7	1500.4
525.2	48.7	1500.3
527.3	48.7	1500.3
529.5	48.2	1500.4
531.6	48.7	1500.4
533.8	48.2	1500.3
535.9	48.7	1500.4
538.0	48.7	1500.4
540.1	48.7	1500.3
542.3	49.1	1500.4
544.4	48.7	1500.4
546.5	49.1	1500.3
548.6	49.6	1500.3
550.8	48.7	1500.3
552.9	48.7	1500.3
555.0	48.2	1500.4
557.1	48.7	1500.4
559.3	47.7	1500.3
561.4	48.7	1500.3
563.6	49.1	1500.4
565.7	49.6	1500.3
567.8	48.2	1500.3
569.9	48.7	1500.3
572.1	48.7	1500.3
574.2	48.7	1500.3
576.3	49.6	1500.4
578.4	48.7	1500.4
580.5	49.6	1500.4
582.6	49.1	1500.3
584.7	49.1	1500.4
586.9	49.1	1500.4
589.0	49.1	1500.4
591.1	48.7	1500.4
593.3	49.1	1500.3
595.4	49.6	1500.3
597.5	47.7	1500.3
599.6	48.7	1500.3
601.8	49.6	1500.4
603.9	48.7	1500.4
606.0	49.1	1500.3
608.1	50.1	1500.3
610.2	49.1	1500.4
612.3	48.7	1500.4
614.5	49.1	1500.3
616.6	50.1	1500.4
618.7	49.1	1500.4
620.9	49.1	1500.4
623.0	49.1	1500.4
625.1	48.7	1500.3
627.2	49.1	1500.3
629.4	48.7	1500.3
631.5	48.7	1500.3
633.6	49.1	1500.3
635.8	50.1	1500.4
637.9	49.6	1500.3
640.0	49.6	1500.3
642.1	50.1	1500.3
644.3	49.1	1500.3
646.4	50.6	1500.4
648.5	50.6	1500.3
650.6	49.6	1500.3
652.8	50.1	1500.3
654.9	49.1	1500.3
657.0	48.7	1500.3
659.1	49.6	1500.3
661.3	50.6	1500.4
663.4	49.6	1500.3
665.5	49.6	1500.4
667.7	49.6	1500.4
669.8	49.1	1500.4
671.9	49.1	1500.4
674.0	50.1	1500.3
676.2	50.1	1500.4
678.3	50.1	1500.4
680.4	50.6	1500.4
682.6	49.6	1500.4
684.7	50.1	1500.4
686.8	49.6	1500.3
689.0	49.1	1500.3
691.1	50.6	1500.3
693.2	51.1	1500.3
695.4	50.6	1500.3
697.5	50.1	1500.3
699.6	50.1	1500.4
701.8	49.1	1500.3
703.9	50.6	1500.4
706.1	50.6	1500.3
708.2	49.6	1500.3
710.3	48.7	1500.3
712.5	50.1	1500.3
714.6	49.6	1500.4
716.7	49.6	1500.3
718.9	50.1	1500.4
721.0	49.6	1500.3
723.2	50.1	1500.3
725.3	50.1	1500.3
727.4	49.6	1500.3
729.5	49.1	1500.4
731.7	49.6	1500.4
733.8	49.6	1500.3
736.0	50.1	1500.3
738.1	50.6	1500.4
740.2	48.7	1500.3
742.3	49.1	1500.3
744.5	49.6	1500.3
746.6	49.6	1500.3
748.7	49.6	1500.3
750.8	50.1	1500.4
753.0	49.6	1500.4
755.1	49.1	1500.3
757.2	49.6	1500.4
759.3	50.1	1500.4
761.4	49.6	1500.3
763.6	49.6	1500.3
765.7	49.1	1500.4
767.8	50.6	1500.3
770.0	49.1	1500.4
772.1	49.1	1500.3
774.2	48.7	1500.3
776.4	50.1	1500.4
778.5	49.6	1500.4
780.6	49.1	1500.3
782.7	50.1	1500.3
784.9	49.1	1500.3
787.0	48.7	1500.3
789.2	50.6	1500.3
791.3	50.6	1500.4
793.4	49.1	1500.3
795.5	49.6	1500.3
797.7	49.6	1500.3
799.8	50.1	1500.4
801.9	49.6	1500.3
804.0	49.6	1500.4
806.2	50.6	1500.3
808.3	49.6	1500.3
810.4	50.1	1500.3
812.6	50.6	1500.4
814.7	49.6	1500.3
816.8	49.6	1500.4
818.9	50.1	1500.3
821.1	49.6	1500.3
823.2	50.1	1500.3
