Time	CPU Temperature	CPU Frequency
535.78	81.8	1000.2
537.93	81.3	1500.4
540.05	81.3	1500.3
542.17	81.8	1500.4
544.33	82.3	1000.2
546.49	81.8	1000.2
548.6	81.3	1500.3
550.77	82.3	1500.3
552.9	83.2	1500.4
555.05	81.8	1000.2
557.23	82.3	1000.2
559.39	81.3	1500.4
561.53	81.8	1500.3
563.65	82.7	1000.2
565.8	82.7	1500.3
567.94	81.3	1500.3
570.1	81.8	1000.3
572.26	82.3	1000.3
574.43	81.3	1000.2
576.61	81.8	1500.3
578.77	82.7	1000.3
580.93	81.8	1500.3
583.08	82.3	1500.3
585.23	82.3	1000.2
587.39	82.3	1000.2
589.54	82.7	1000.3
591.71	81.8	1500.3
593.93	81.8	1000.2
596.11	81.8	1500.4
598.24	81.8	1000.2
600.38	81.3	1500.4
602.54	82.3	1000.3
604.69	82.7	1000.3
606.84	82.3	1000.2
609.05	82.3	1500.3
611.21	82.3	1000.3
613.34	82.7	1000.3
615.51	82.3	1500.3
617.61	82.7	1500.4
619.74	82.3	1000.3
621.89	81.8	1000.3
624.1	82.7	1000.3
626.26	82.7	1500.4
628.4	82.7	1500.3
630.55	83.2	1500.3
632.72	81.8	1500.4
634.86	82.3	1500.3
637.03	82.7	1000.2
639.26	80.8	1500.4
641.41	82.3	1000.3
643.56	82.7	1000.3
645.73	82.7	1500.3
647.89	82.3	1000.3
650.03	81.3	1500.3
652.16	82.3	1000.3
654.34	82.3	1000.2
656.5	81.8	1500.4
658.64	81.3	1000.3
660.81	82.7	1500.4
662.94	82.3	1000.2
665.09	81.8	1500.3
667.24	82.3	1000.3
669.4	82.3	1500.3
671.55	82.3	1500.3
673.7	82.7	1000.3
675.85	81.8	1500.3
677.96	81.8	1500.3
680.11	82.7	1000.2
682.24	81.8	1500.3
684.37	82.3	1500.4
686.5	82.7	1500.4
688.64	82.3	1500.3
690.79	81.8	1000.3
692.95	82.3	1000.2
695.11	82.3	1000.3
697.28	82.3	1000.3
699.45	82.7	1500.3
701.61	83.2	1500.3
703.75	81.8	1000.2
705.92	82.3	1500.4
708.05	82.3	1000.2
710.22	82.3	1500.4
712.37	81.8	1500.4
714.52	82.3	1000.3
716.68	81.8	1500.3
718.81	82.3	1500.3
720.94	82.7	1500.3
723.09	82.3	1500.3
725.25	82.7	1500.3
727.39	82.3	1500.3
729.54	82.7	1500.3
731.66	81.8	1500.4
733.81	82.3	1000.2
735.98	82.3	1000.2
738.15	81.8	1500.3
740.31	81.8	1500.4
742.46	82.3	1500.3
744.59	82.3	1000.2
746.74	81.8	1500.3
748.87	83.2	1000.2
751.04	81.8	1500.4
753.19	82.3	1000.3
755.35	82.7	1000.3
757.51	82.3	1000.3
759.65	82.3	1000.3
761.78	82.3	1500.4
763.93	82.7	1000.2
766.12	82.7	1000.3
768.28	82.3	1500.3
770.42	82.3	1000.3
772.57	81.8	1000.3
774.73	81.8	1500.3
776.87	82.7	1500.4
779.01	80.8	1500.4
781.17	81.8	1000.3
783.31	82.3	1500.3
785.45	82.7	1000.2
787.61	81.8	1500.3
789.75	83.2	1000.2
791.93	82.3	1000.2
794.08	81.8	1500.3
796.22	81.3	1500.4
798.36	82.3	1500.3
800.51	82.7	1000.2
802.64	81.8	1500.4
804.79	81.3	1500.3
806.94	82.3	1000.3
809.08	82.3	1500.3
811.24	82.7	1000.3
813.4	82.3	1000.2
815.57	81.8	1000.3
817.73	81.3	1000.2
819.9	82.7	1000.2
822.06	82.7	1000.2
824.24	82.7	1000.2
826.43	82.3	1000.2
828.57	82.3	1500.4
830.71	82.7	1500.3
832.86	81.3	1500.3
835.01	82.3	1000.2
837.17	82.3	1000.2
839.32	82.3	1500.4
841.47	83.2	1000.3
843.62	82.3	1000.2
845.77	82.3	1500.3
847.92	81.8	1000.3
850.08	82.7	1000.2
852.23	81.8	1000.3
854.39	82.7	1000.2
856.56	82.3	1500.4
858.75	82.7	1000.2
860.9	82.7	1000.3
863.07	82.3	1000.2
865.23	82.3	1000.3
867.39	82.3	1000.3
869.56	81.8	1500.4
871.7	83.2	1000.2
873.85	83.2	1000.2
876.01	82.3	1000.3
878.21	82.3	1500.3
880.34	83.2	1000.2
882.51	82.3	1500.3
884.65	82.7	1500.4
886.8	81.3	1000.2
888.97	83.2	1000.2
891.13	83.2	1000.3
893.27	83.2	1000.3
895.44	81.3	1500.3
897.59	81.8	1500.4
899.75	82.7	1500.3
901.91	83.2	1000.3
904.07	82.3	1500.4
906.21	82.7	1000.2
908.35	82.3	1000.2
910.51	81.8	1000.2
912.67	82.3	1500.3
914.81	81.8	1000.3
916.97	83.2	1500.3
919.13	81.8	1500.3
921.29	81.8	1500.4
923.43	82.3	1000.2
