Time	CPU Temperature	CPU Frequency
0.0	34.5	1000.3
2.1	35.0	900.2
4.2	35.0	900.2
6.3	35.0	900.2
8.4	34.5	1500.3
10.5	34.5	900.2
12.7	35.0	1000.3
14.8	35.5	1000.3
16.9	34.5	600.2
19.0	35.0	800.2
21.1	35.0	800.2
23.2	35.0	800.2
25.3	35.5	900.2
27.5	34.5	1000.2
29.6	35.0	800.2
31.7	35.0	800.2
33.8	34.5	800.2
35.9	35.0	800.2
38.0	34.5	1500.3
40.1	35.0	800.2
42.2	35.0	800.2
44.3	35.0	800.2
46.4	34.5	800.2
48.5	35.5	800.2
50.6	34.5	900.2
52.7	34.5	1000.3
54.8	35.0	1000.2
56.9	34.5	1000.3
59.1	35.0	1000.3
61.2	34.5	1000.2
63.3	35.0	600.2
65.4	34.5	600.1
67.5	36.0	700.2
69.6	35.0	700.2
71.8	35.0	1500.3
73.8	34.5	900.2
75.9	35.5	1000.2
78.0	34.5	1500.3
80.1	36.0	700.2
82.3	35.5	1500.4
84.3	34.5	600.2
86.4	35.0	700.2
88.5	34.5	700.2
90.7	35.0	700.2
92.8	35.5	800.2
94.9	35.5	800.2
97.0	35.5	1500.3
99.1	35.0	1000.3
101.2	34.5	1500.3
103.3	35.0	800.2
105.4	35.5	900.2
107.5	35.0	1000.2
109.6	34.5	600.1
111.7	35.0	600.2
113.9	35.5	600.1
116.0	34.0	600.2
118.1	35.5	800.2
120.2	34.5	800.2
122.3	34.5	900.2
124.4	34.5	1000.3
126.5	35.0	1500.4
128.6	34.5	700.2
130.8	35.0	700.2
132.9	36.0	1500.3
134.9	35.0	1000.3
137.0	35.5	1000.2
139.2	34.5	700.2
141.3	35.5	800.2
143.4	35.5	900.2
145.5	34.5	900.2
147.6	34.5	1500.3
149.7	35.0	800.2
151.8	35.0	900.2
153.9	35.5	1000.3
156.0	35.0	600.2
158.1	35.5	600.1
160.3	35.0	1500.4
162.3	35.5	900.2
164.4	35.0	900.2
166.5	35.0	900.2
168.6	34.0	1000.3
170.7	35.0	1000.2
172.9	36.5	1500.3
174.9	35.0	900.2
177.0	34.0	1000.3
179.1	35.5	1500.3
181.3	35.0	600.2
183.4	36.0	1500.4
185.4	35.0	1000.2
187.5	35.5	700.2
189.6	35.5	700.2
191.8	34.5	700.2
193.9	35.5	800.2
196.0	34.0	900.2
198.1	35.0	1500.3
200.2	34.5	900.2
202.3	35.0	900.2
204.4	34.5	900.2
206.5	35.0	1000.3
208.7	35.0	700.2
210.8	35.5	800.2
212.9	35.0	900.2
215.0	35.5	900.2
217.1	35.5	1500.3
219.2	35.0	700.2
221.3	36.0	800.2
223.4	35.0	900.2
225.5	35.0	900.2
227.6	35.5	1000.2
229.7	35.0	1500.4
231.8	35.0	1500.3
233.9	35.0	1500.4
236.0	35.5	900.2
238.1	34.0	1500.4
240.2	35.0	600.2
242.3	35.0	600.1
244.4	35.5	600.1
246.6	35.0	700.2
248.7	35.5	1500.3
250.7	35.5	900.2
252.8	35.0	900.2
254.9	35.0	900.2
257.1	35.0	900.2
259.2	36.0	1500.4
261.2	35.0	800.2
263.3	34.5	900.2
265.4	36.0	1500.4
267.6	34.5	600.2
269.7	35.5	800.2
271.8	35.0	800.2
273.9	35.5	900.2
276.0	35.0	900.2
278.1	34.5	900.2
280.2	34.0	700.2
282.3	35.0	700.2
284.4	36.0	700.2
286.6	35.5	700.2
288.7	35.5	700.2
290.8	35.0	700.2
292.9	35.5	700.2
295.0	35.5	800.2
297.1	35.0	700.2
299.3	35.5	1000.3
301.3	38.4	1500.3
303.5	39.4	1500.4
305.6	40.9	1500.3
307.8	42.8	1500.4
309.9	42.8	1500.3
312.1	42.8	1500.3
314.2	44.3	1500.4
316.4	43.3	1500.3
318.5	44.3	1500.3
320.6	43.8	1500.3
322.7	44.8	1500.4
324.9	45.2	1500.4
327.0	45.7	1500.3
329.2	46.2	1500.3
331.3	44.8	1500.4
333.4	45.2	1500.3
335.6	45.7	1500.4
337.7	46.2	1500.3
339.9	46.2	1500.3
342.0	47.2	1500.3
344.1	46.2	1500.4
346.3	47.2	1500.3
348.4	48.2	1500.3
350.5	47.2	1500.3
352.7	47.2	1500.3
354.8	47.7	1500.3
356.9	47.2	1500.3
359.1	47.7	1500.4
361.2	47.2	1500.4
363.4	47.7	1500.3
365.5	47.7	1500.4
367.6	47.7	1500.3
369.8	47.7	1500.4
371.9	48.7	1500.4
374.1	47.7	1500.4
376.2	47.7	1500.3
378.4	48.2	1500.4
380.5	47.7	1500.3
382.6	48.2	1500.4
384.8	49.1	1500.3
386.9	48.2	1500.4
389.1	48.7	1500.3
391.2	48.7	1500.3
393.3	48.7	1500.3
395.5	48.7	1500.3
397.6	49.1	1500.3
399.7	49.1	1500.4
401.9	48.7	1500.4
404.0	49.6	1500.3
406.2	49.6	1500.4
408.3	47.7	1500.3
410.5	48.7	1500.4
412.6	48.7	1500.3
414.7	49.6	1500.3
416.9	49.1	1500.4
419.0	49.6	1500.4
421.1	49.6	1500.3
423.3	48.7	1500.4
425.4	50.1	1500.4
427.6	49.6	1500.4
429.7	49.6	1500.4
431.9	49.1	1500.3
434.0	49.6	1500.3
436.2	50.6	1500.3
438.3	48.7	1500.3
440.5	49.1	1500.4
442.6	50.1	1500.3
444.8	49.1	1500.4
446.9	50.1	1500.4
449.0	50.1	1500.4
451.2	50.1	1500.3
453.3	49.6	1500.4
455.4	49.1	1500.4
457.6	48.7	1500.3
459.7	51.1	1500.4
461.9	50.6	1500.4
464.0	50.1	1500.3
466.1	49.6	1500.3
468.3	48.7	1500.4
470.4	50.1	1500.4
472.6	50.1	1500.3
474.7	50.6	1500.4
476.8	49.6	1500.3
479.0	49.1	1500.3
481.1	49.6	1500.3
483.3	49.6	1500.4
485.4	50.6	1500.4
487.6	49.6	1500.4
489.7	49.1	1500.3
491.8	49.1	1500.3
494.0	50.6	1500.3
496.1	50.6	1500.4
498.2	50.1	1500.3
500.4	50.6	1500.3
502.5	50.6	1500.4
504.7	49.6	1500.3
506.8	50.1	1500.4
509.0	50.1	1500.3
511.1	50.1	1500.3
513.2	50.6	1500.3
515.4	49.6	1500.3
517.5	50.1	1500.3
519.6	49.1	1500.4
521.8	49.6	1500.4
523.9	51.1	1500.3
526.1	50.1	1500.4
528.2	50.1	1500.4
530.3	49.1	1500.4
532.5	50.1	1500.4
534.6	49.6	1500.4
536.8	50.1	1500.3
538.9	50.6	1500.3
541.0	50.6	1500.4
543.2	50.1	1500.3
545.4	49.1	1500.3
547.5	49.6	1500.4
549.6	50.6	1500.4
551.8	50.1	1500.4
553.9	49.6	1500.4
556.0	50.6	1500.3
558.2	50.6	1500.4
560.3	50.6	1500.4
562.5	50.1	1500.3
564.6	49.6	1500.3
566.8	51.1	1500.3
568.9	50.1	1500.4
571.0	50.1	1500.3
573.2	51.1	1500.3
575.3	50.1	1500.3
577.5	50.1	1500.3
579.6	49.6	1500.3
581.7	50.6	1500.4
583.9	50.6	1500.3
586.0	50.6	1500.3
588.2	50.1	1500.4
590.4	49.6	1500.3
592.5	50.1	1500.3
594.6	50.1	1500.3
596.8	49.1	1500.3
598.9	49.6	1500.4
601.0	50.1	1500.4
603.2	50.6	1500.4
605.3	50.1	1500.3
607.5	51.1	1500.4
609.6	50.6	1500.3
611.7	49.6	1500.3
613.9	50.1	1500.3
616.0	50.1	1500.3
618.1	50.6	1500.4
620.3	49.6	1500.4
622.4	50.6	1500.3
624.6	50.1	1500.4
626.7	49.6	1500.3
628.8	51.1	1500.4
631.0	50.6	1500.4
633.1	50.6	1500.3
635.3	50.6	1500.3
637.4	49.6	1500.3
639.6	49.1	1500.4
641.7	51.1	1500.4
643.9	50.1	1500.3
646.0	51.1	1500.3
648.1	51.1	1500.4
650.3	50.6	1500.4
652.4	51.1	1500.4
654.6	50.1	1500.4
656.7	49.6	1500.3
658.8	50.1	1500.3
661.0	51.1	1500.3
663.1	51.1	1500.4
665.2	51.1	1500.3
667.3	50.6	1500.4
669.5	51.1	1500.3
671.6	51.1	1500.4
673.8	51.1	1500.3
675.9	50.1	1500.4
678.1	51.1	1500.3
680.2	50.6	1500.4
682.3	50.6	1500.3
684.5	50.6	1500.3
686.6	51.1	1500.4
688.8	50.6	1500.4
690.9	50.1	1500.3
693.0	50.6	1500.3
695.2	50.1	1500.4
697.3	50.6	1500.3
699.4	50.6	1500.4
701.5	51.1	1500.4
703.7	51.1	1500.3
705.8	50.6	1500.3
707.9	50.1	1500.3
710.1	50.6	1500.3
712.2	50.6	1500.4
714.4	51.6	1500.3
716.5	51.1	1500.4
718.7	51.1	1500.3
720.8	50.1	1500.4
723.0	50.6	1500.3
725.1	50.6	1500.3
727.2	50.1	1500.4
729.4	50.6	1500.4
731.5	50.6	1500.3
733.6	51.1	1500.4
735.7	51.1	1500.3
737.9	51.1	1500.4
740.0	50.6	1500.4
742.1	50.6	1500.3
744.2	50.6	1500.4
746.4	50.6	1500.3
748.5	49.6	1500.3
750.6	49.6	1500.3
752.8	50.6	1500.3
754.9	50.6	1500.4
757.1	50.1	1500.4
759.2	50.6	1500.3
761.4	51.1	1500.3
763.5	50.1	1500.3
765.7	49.6	1500.4
767.8	50.6	1500.3
770.0	50.6	1500.3
772.1	51.1	1500.4
774.3	49.6	1500.4
776.4	50.6	1500.4
778.5	50.1	1500.4
780.6	50.6	1500.4
782.8	51.1	1500.3
784.9	51.6	1500.3
787.0	51.1	1500.3
789.2	50.6	1500.3
791.3	50.1	1500.4
793.4	49.6	1500.3
795.6	49.6	1500.3
797.7	50.6	1500.3
799.8	50.1	1500.3
801.9	50.6	1500.3
804.1	50.1	1500.3
806.2	50.1	1500.4
808.3	50.1	1500.3
810.5	50.1	1500.3
812.6	51.1	1500.4
814.8	51.6	1500.3
816.9	50.6	1500.3
819.1	51.1	1500.3
821.2	50.1	1500.3
823.4	50.6	1500.3
825.5	50.6	1500.3
827.6	51.1	1500.3
829.8	50.6	1500.3
831.9	50.6	1500.3
834.0	50.6	1500.4
836.2	50.6	1500.3
838.3	49.6	1500.3
840.4	50.1	1500.4
842.6	50.6	1500.3
844.7	51.1	1500.3
846.8	50.1	1500.4
849.0	51.1	1500.3
851.1	50.6	1500.4
853.3	50.1	1500.3
855.4	50.6	1500.3
857.5	51.1	1500.3
859.7	50.1	1500.3
861.8	51.1	1500.3
863.9	50.1	1500.4
866.1	50.1	1500.3
868.2	50.6	1500.3
870.4	50.1	1500.3
872.5	50.1	1500.4
874.6	50.1	1500.3
876.8	50.1	1500.4
878.9	51.1	1500.3
881.1	49.6	1500.3
883.2	50.6	1500.4
885.3	50.1	1500.4
887.4	51.1	1500.3
889.6	50.6	1500.3
891.7	49.6	1500.3
893.8	51.6	1500.3
896.0	49.6	1500.3
898.1	50.1	1500.4
900.3	50.1	1500.4
902.4	51.6	1500.3
904.5	50.1	1500.3
906.7	50.1	1500.3
908.8	50.1	1500.4
911.0	50.6	1500.3
913.1	50.1	1500.4
915.2	49.6	1500.3
917.4	50.1	1500.3
919.5	51.1	1500.4
921.7	51.1	1500.3
923.8	50.6	1500.4
925.9	49.6	1500.3
928.1	49.6	1500.3
930.2	50.1	1500.3
932.4	51.1	1500.3
934.5	50.6	1500.4
936.6	50.1	1500.4
938.8	50.6	1500.3
940.9	50.1	1500.3
943.1	51.1	1500.3
945.2	50.1	1500.3
947.3	51.1	1500.3
949.5	51.1	1500.3
951.6	50.6	1500.3
953.7	50.6	1500.3
955.9	50.6	1500.4
958.0	50.6	1500.4
960.1	50.6	1500.4
962.3	50.1	1500.3
964.4	51.1	1500.4
966.6	50.6	1500.3
968.7	50.6	1500.3
970.9	50.6	1500.4
973.0	51.1	1500.4
975.2	50.6	1500.4
977.3	50.6	1500.4
979.4	51.1	1500.3
981.6	51.1	1500.3
983.7	50.6	1500.3
985.9	50.6	1500.4
988.0	51.1	1500.4
990.1	50.6	1500.4
992.3	50.6	1500.3
994.4	50.1	1500.3
996.5	50.1	1500.4
998.7	49.6	1500.3
1000.8	50.1	1500.3
1003.0	50.6	1500.3
1005.1	51.1	1500.4
1007.2	50.6	1500.3
1009.4	50.6	1500.4
1011.5	50.1	1500.4
1013.7	50.1	1500.4
1015.8	50.6	1500.3
1017.9	50.1	1500.3
1020.1	50.6	1500.4
1022.2	50.1	1500.3
1024.4	50.6	1500.4
1026.5	50.1	1500.4
1028.6	50.6	1500.4
1030.8	50.1	1500.4
1032.9	50.6	1500.4
1035.0	51.1	1500.3
1037.2	50.6	1500.3
1039.3	50.1	1500.3
1041.5	51.6	1500.3
1043.6	50.6	1500.4
1045.7	50.6	1500.3
1047.9	50.1	1500.4
1050.0	51.1	1500.3
1052.1	51.1	1500.3
1054.3	51.1	1500.3
1056.4	51.1	1500.4
1058.6	50.6	1500.3
1060.7	50.6	1500.3
1062.9	51.1	1500.3
1065.0	51.1	1500.4
1067.0	50.6	1500.4
1069.2	50.1	1500.4
1071.3	50.1	1500.3
1073.5	50.1	1500.4
1075.6	50.1	1500.3
1077.8	50.1	1500.3
1079.9	51.1	1500.3
1082.1	50.6	1500.3
1084.2	51.6	1500.4
1086.3	51.1	1500.3
1088.5	51.1	1500.4
1090.6	50.6	1500.3
1092.8	51.1	1500.3
1094.9	51.6	1500.3
1097.1	50.6	1500.3
1099.2	50.1	1500.4
1101.3	50.6	1500.3
1103.5	51.1	1500.4
1105.6	51.6	1500.3
1107.8	51.1	1500.3
1109.9	50.1	1500.3
1112.0	50.6	1500.3
1114.2	50.6	1500.4
1116.3	51.6	1500.3
1118.5	50.6	1500.3
1120.6	51.1	1500.4
1122.7	50.6	1500.3
1124.9	51.1	1500.3
1127.0	51.1	1500.4
1129.2	50.6	1500.3
1131.3	51.1	1500.3
1133.5	51.1	1500.3
1135.6	50.6	1500.3
1137.7	50.1	1500.4
1139.9	51.1	1500.3
1142.0	51.6	1500.3
1144.2	51.1	1500.3
1146.3	50.1	1500.3
1148.5	50.1	1500.3
1150.6	50.6	1500.3
1152.7	50.6	1500.4
1154.9	50.1	1500.4
1157.0	51.1	1500.4
1159.1	50.6	1500.3
1161.3	51.1	1500.3
1163.4	50.1	1500.4
1165.6	51.1	1500.4
1167.7	50.6	1500.4
1169.9	50.1	1500.3
1172.0	50.6	1500.4
1174.1	51.6	1500.3
1176.3	51.6	1500.3
1178.4	51.1	1500.4
1180.6	52.1	1500.3
1182.7	51.1	1500.4
1184.8	50.1	1500.4
1187.0	50.6	1500.4
1189.1	50.6	1500.4
1191.2	51.1	1500.3
1193.4	51.1	1500.4
1195.5	51.1	1500.4
1197.7	51.1	1500.4
1199.8	51.1	1500.3
1201.9	47.7	800.2
1204.0	44.8	800.2
1206.1	44.8	900.2
1208.3	44.3	900.2
1210.4	42.3	1500.3
1212.5	42.8	1000.2
1214.6	42.8	1000.3
1216.7	41.8	1000.3
1218.8	41.3	600.1
1220.9	41.3	700.2
1223.0	40.9	700.2
1225.2	41.3	900.2
1227.3	41.3	900.2
1229.4	40.4	800.2
1231.5	39.4	900.2
1233.6	39.9	900.2
1235.7	39.9	1000.3
1237.8	39.4	800.2
1239.9	39.4	800.2
1242.0	39.4	1000.2
1244.1	38.9	1000.3
1246.2	39.4	600.2
1248.4	38.9	700.2
1250.5	37.4	700.2
1252.6	38.9	800.2
1254.7	38.4	800.2
